Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NYMX,Nymox Pharmaceutical Corporation,1.83,123847548.5,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/nymx
OIIM,O2Micro International Limited,1.46,48725298.32,33373492,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/oiim
OVLY,Oak Valley Bancorp (CA),19.17,157106949,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ovly
OCSL,Oaktree Specialty Lending Corporation,5.28,744272237.3,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ocsl
OCSLL,Oaktree Specialty Lending Corporation,25.1128,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ocsll
OCSI,Oaktree Strategic Income Corporation,8.69,256066213.9,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ocsi
OASM,Oasmia Pharmaceutical AB,1.8499,1090967.426,589744,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/oasm
OBLN,"Obalon Therapeutics, Inc.",0.451,10599773.62,n/a,2016,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/obln
OBSV,ObsEva SA,13.9,603870362.9,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/obsv
OBCI,"Ocean Bio-Chem, Inc.",3.1,29034968.9,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/obci
OPTT,"Ocean Power Technologies, Inc.",2.78,7757484.36,n/a,2007,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/optt
OCFC,OceanFirst Financial Corp.,25.18,1293803544,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ocfc
OFED,Oconee Federal Financial Corp.,26.22,151038605.7,n/a,2011,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ofed
OCUL,"Ocular Therapeutix, Inc.",3.75,160638667.5,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ocul
ODT,"Odonate Therapeutics, Inc.",19.66,525842107.7,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/odt
OMEX,"Odyssey Marine Exploration, Inc.",5.04,46479882.96,n/a,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/omex
ODP,"Office Depot, Inc.",2.4,1303753466,n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/odp
OPI,Office Properties Income Trust,27.14,1305214247,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/opi
OPINI,Office Properties Income Trust,25.11,0,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/opini
OFS,OFS Capital Corporation,12.47,166613341,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ofs
OFSSL,OFS Capital Corporation,25.28,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ofssl
OFSSZ,OFS Capital Corporation,25.35,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ofssz
OCCI,"OFS Credit Company, Inc.",18.1871,45559194.74,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/occi
OCCIP,"OFS Credit Company, Inc.",25.265,20212000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/occip
OHAI,OHA Investment Corporation,1.16,23399974.72,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ohai
OVBC,Ohio Valley Banc Corp.,37.58,178830405.2,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ovbc
